Chromosome,Start,End,Length (bp),Methods
Supercontig_12.2,3608651,3608850,200,"Blast,Het,Period"
Supercontig_12.2,3608851,3609200,350,"Blast,Depth,Het,Period"
Supercontig_12.2,3609201,3609800,600,"Blast,Het,Period"
Supercontig_12.2,3609801,3609900,100,"Blast,Depth,Het,Period"
Supercontig_12.2,3609901,3610450,550,"Blast,Het,Period"
Supercontig_12.2,3610451,3610750,300,"Blast,Period"
Supercontig_12.2,3610751,3610800,50,"Blast,Het,Period"
Supercontig_12.2,3610801,3611250,450,"Blast,Depth,Het,Period"
Supercontig_12.2,3611251,3611850,600,"Blast,Het,Period"
Supercontig_12.2,3611851,3612300,450,"Blast,Depth,Het,Period"
Supercontig_12.2,3612301,3612350,50,"Blast,Het,Period"
Supercontig_12.2,3612351,3612800,450,"Blast,Period"
Supercontig_12.2,3612801,3613000,200,"Blast,Depth,Het,Period"
Supercontig_12.2,3613001,3613750,750,"Blast,Het,Period"
Supercontig_12.2,3613751,3613850,100,"Blast,Depth,Het,Period"
Supercontig_12.2,3613851,3614300,450,"Blast,Het,Period"
Supercontig_12.2,3614301,3614500,200,"Blast,Depth,Het,Period"
Supercontig_12.2,3614501,3614700,200,"Blast,Het,Period"
Supercontig_12.2,3614701,3615300,600,"Blast,Depth,Het,Period"
Supercontig_12.2,3615301,3615800,500,"Blast,Het,Period"
Supercontig_12.2,3615801,3616000,200,"Blast,Depth,Het,Period"
Supercontig_12.2,3616001,3616332,332,"Blast,Het,Period"
Supercontig_12.2,3616333,3616869,537,"Blast,Het"
Supercontig_12.2,3616870,3617400,531,"Blast,Het,Period"
Supercontig_12.2,3617401,3618200,800,"Blast,Depth,Het,Period"
Supercontig_12.2,3618201,3618900,700,"Blast,Het,Period"
Supercontig_12.2,3618901,3619200,300,"Blast,Depth,Het,Period"
Supercontig_12.2,3619201,3619700,500,"Blast,Het,Period"
Supercontig_12.2,3619701,3620200,500,"Blast,Depth,Het,Period"
Supercontig_12.2,3620201,3621750,1550,"Blast,Het,Period"
Supercontig_12.2,3621751,3622150,400,"Blast,Depth,Het,Period"
Supercontig_12.2,3622151,3622200,50,"Blast,Het,Period"
Supercontig_12.2,3622201,3622400,200,Period
Supercontig_12.2,3622401,3622500,100,"Blast,Period"
Supercontig_12.2,3622501,3622750,250,"Blast,Depth,Het,Period"
Supercontig_12.2,3622751,3623000,250,"Blast,Het,Period"
Supercontig_12.2,3623001,3623600,600,"Blast,Period"
Supercontig_12.2,3623601,3623800,200,Period
Supercontig_12.2,3623801,3623850,50,"Blast,Period"
Supercontig_12.2,3623851,3623950,100,"Blast,Het,Period"
Supercontig_12.2,3623951,3624253,303,"Blast,Depth,Het,Period"
Supercontig_12.2,3624254,3624550,297,"Blast,Depth,Het"
Supercontig_12.2,3624551,3626200,1650,"Blast,Het"
Supercontig_12.2,3626201,3626400,200,Het
Supercontig_12.2,3626401,3626500,100,"Blast,Het"
Supercontig_12.2,3626501,3626762,262,"Blast,Depth,Het"
Supercontig_12.2,3626763,3626950,188,"Blast,Depth,Het,Period"
Supercontig_12.2,3626951,3627035,85,"Blast,Het,Period"
Supercontig_12.2,3627036,3628000,965,"Blast,Het"
Supercontig_12.2,3628001,3628100,100,Het
Supercontig_12.2,3628101,3628500,400,"Depth,Het"
Supercontig_12.2,3628501,3628550,50,Het
Supercontig_12.2,3628601,3628750,150,Blast
Supercontig_12.2,3628751,3628850,100,"Blast,Het"
Supercontig_12.2,3628851,3628910,60,"Blast,Depth,Het"
Supercontig_12.2,3628911,3629650,740,"Blast,Depth,Het,Period"
Supercontig_12.2,3629651,3629900,250,"Blast,Het,Period"
Supercontig_12.2,3629901,3630100,200,"Blast,Depth,Het,Period"
Supercontig_12.2,3630101,3630300,200,"Blast,Het,Period"
Supercontig_12.2,3630301,3631950,1650,"Blast,Depth,Het,Period"
Supercontig_12.2,3631951,3632200,250,"Blast,Het,Period"
Supercontig_12.2,3632201,3633150,950,"Blast,Depth,Het,Period"
Supercontig_12.2,3633151,3633500,350,"Blast,Het,Period"
Supercontig_12.2,3633501,3634600,1100,"Blast,Depth,Het,Period"
Supercontig_12.2,3634601,3634850,250,"Blast,Het,Period"
Supercontig_12.2,3634851,3636650,1800,"Blast,Depth,Het,Period"
Supercontig_12.2,3636651,3637050,400,"Blast,Het,Period"
Supercontig_12.2,3637051,3637550,500,"Blast,Depth,Het,Period"
Supercontig_12.2,3637551,3637600,50,"Blast,Het,Period"
Supercontig_12.2,3637601,3638000,400,"Blast,Period"
Supercontig_12.2,3638001,3638050,50,"Blast,Depth,Period"
Supercontig_12.2,3638051,3638250,200,"Blast,Depth,Het,Period"
Supercontig_12.2,3638251,3638750,500,"Blast,Period"
Supercontig_12.2,3638751,3638850,100,"Blast,Depth,Period"
Supercontig_12.2,3638851,3639800,950,"Blast,Depth,Het,Period"
Supercontig_12.2,3639801,3640000,200,"Blast,Het,Period"
Supercontig_12.2,3640001,3640302,302,"Blast,Depth,Het,Period"
Supercontig_12.2,3640303,3640400,98,"Blast,Depth,Het"
Supercontig_12.2,3640401,3640450,50,"Depth,Het"
Supercontig_12.2,3640451,3640582,132,Depth
Supercontig_12.2,3640583,3640600,18,"Depth,Period"
Supercontig_12.2,3640601,3640650,50,"Blast,Depth,Period"
Supercontig_12.2,3640651,3643000,2350,"Blast,Depth,Het,Period"
Supercontig_12.2,3643001,3643100,100,"Depth,Het,Period"
Supercontig_12.2,3643101,3643300,200,"Depth,Period"
Supercontig_12.2,3643301,3643400,100,"Depth,Het,Period"
Supercontig_12.2,3643401,3644777,1377,"Blast,Depth,Het,Period"
Supercontig_12.2,3644778,3644800,23,"Blast,Depth,Het"
Supercontig_12.2,3644801,3644850,50,"Depth,Het"
Supercontig_12.2,3644851,3644950,100,Depth
Supercontig_12.2,3645057,3645100,44,Period
Supercontig_12.2,3645101,3645150,50,"Het,Period"
Supercontig_12.2,3645151,3645200,50,"Depth,Het,Period"
Supercontig_12.2,3645201,3645600,400,"Blast,Depth,Het,Period"
Supercontig_12.2,3645601,3646000,400,"Blast,Depth,Period"
Supercontig_12.2,3646001,3646200,200,Period
Supercontig_12.2,3646201,3646500,300,"Blast,Period"
Supercontig_12.2,3646501,3646550,50,"Blast,Depth,Period"
Supercontig_12.2,3646551,3647150,600,"Blast,Depth,Het,Period"
Supercontig_12.2,3647151,3647200,50,"Blast,Het,Period"
Supercontig_12.2,3647201,3647450,250,"Blast,Period"
Supercontig_12.2,3647451,3648400,950,"Blast,Het,Period"
Supercontig_12.2,3648401,3648600,200,"Blast,Period"
Supercontig_12.2,3648601,3649200,600,"Blast,Het,Period"
Supercontig_12.2,3649201,3649400,200,Period
Supercontig_12.2,3649401,3649500,100,"Blast,Period"
Supercontig_12.2,3649501,3649600,100,"Blast,Het,Period"
Supercontig_12.2,3649601,3651000,1400,"Blast,Depth,Het,Period"
Supercontig_12.2,3651001,3651200,200,Period
Supercontig_12.2,3651201,3651500,300,"Blast,Depth,Het,Period"
Supercontig_12.2,3651501,3651900,400,"Blast,Het,Period"
Supercontig_12.2,3651901,3652450,550,"Blast,Depth,Het,Period"
Supercontig_12.2,3652451,3652700,250,"Blast,Het,Period"
Supercontig_12.2,3652701,3652800,100,"Blast,Period"
Supercontig_12.2,3652801,3653000,200,Period
Supercontig_12.2,3653001,3653050,50,"Blast,Period"
Supercontig_12.2,3653051,3653150,100,"Blast,Depth,Period"
Supercontig_12.2,3653151,3653800,650,"Blast,Depth,Het,Period"
Supercontig_12.2,3653801,3653850,50,"Het,Period"
Supercontig_12.2,3653851,3654000,150,Period
Supercontig_12.2,3654001,3654050,50,"Blast,Depth,Period"
Supercontig_12.2,3654051,3655100,1050,"Blast,Depth,Het,Period"
Supercontig_12.2,3655101,3655200,100,"Blast,Het,Period"
Supercontig_12.2,3655201,3655600,400,"Blast,Period"
Supercontig_12.2,3655601,3655700,100,"Blast,Het,Period"
Supercontig_12.2,3655701,3656650,950,"Blast,Depth,Het,Period"
Supercontig_12.2,3656651,3656850,200,"Blast,Het,Period"
Supercontig_12.2,3656851,3657700,850,"Blast,Depth,Het,Period"
Supercontig_12.2,3657701,3658050,350,"Blast,Het,Period"
Supercontig_12.2,3658051,3658300,250,"Blast,Depth,Period"
Supercontig_12.2,3658301,3658350,50,"Blast,Period"
Supercontig_12.2,3658351,3658469,119,"Blast,Het,Period"
Supercontig_12.2,3658470,3658500,31,"Blast,Het"
Supercontig_12.2,3658501,3659400,900,Blast
Supercontig_12.2,3659601,3659750,150,Blast
Supercontig_12.2,3659751,3659964,214,"Blast,Depth,Het"
Supercontig_12.2,3659965,3660150,186,"Blast,Depth,Het,Period"
Supercontig_12.2,3660151,3660286,136,"Blast,Het,Period"
Supercontig_12.2,3660287,3661000,714,"Blast,Het"
Supercontig_12.2,3661001,3661400,400,"Blast,Depth,Het"
Supercontig_12.2,3661401,3661475,75,"Blast,Depth"
Supercontig_12.2,3661476,3661763,288,"Blast,Depth,Period"
Supercontig_12.2,3661764,3661800,37,"Blast,Depth"
Supercontig_12.2,3661801,3662000,200,Depth
Supercontig_12.2,3662001,3662050,50,"Blast,Depth"
Supercontig_12.2,3662051,3662400,350,Blast
Supercontig_12.2,3662401,3663050,650,"Blast,Het"
Supercontig_12.2,3663051,3663174,124,"Blast,Depth,Het"
Supercontig_12.2,3663175,3663700,526,"Blast,Depth,Het,Period"
Supercontig_12.2,3663701,3663900,200,"Blast,Het,Period"
Supercontig_12.2,3663901,3664100,200,"Blast,Depth,Het,Period"
Supercontig_12.2,3664101,3664800,700,"Blast,Het,Period"
Supercontig_12.2,3664801,3666300,1500,"Blast,Depth,Het,Period"
Supercontig_12.2,3666301,3666550,250,"Blast,Het,Period"
Supercontig_12.2,3666551,3667200,650,"Blast,Depth,Het,Period"
Supercontig_12.2,3667201,3667450,250,"Blast,Het,Period"
Supercontig_12.2,3667451,3667550,100,"Blast,Depth,Het,Period"
Supercontig_12.2,3667551,3667900,350,"Blast,Het,Period"
Supercontig_12.2,3667901,3668700,800,"Blast,Depth,Het,Period"
Supercontig_12.2,3668701,3669050,350,"Blast,Het,Period"
Supercontig_12.2,3669051,3669550,500,"Blast,Depth,Het,Period"
Supercontig_12.2,3669551,3669900,350,"Blast,Het,Period"
Supercontig_12.2,3669901,3670250,350,"Blast,Depth,Het,Period"
Supercontig_12.2,3670251,3670900,650,"Blast,Het,Period"
Supercontig_12.2,3670901,3671000,100,"Blast,Depth,Het,Period"
Supercontig_12.2,3671001,3671450,450,"Blast,Het,Period"
Supercontig_12.2,3671451,3671650,200,"Blast,Period"
Supercontig_12.2,3671651,3671800,150,"Blast,Het,Period"
Supercontig_12.2,3671801,3671950,150,"Blast,Depth,Het,Period"
Supercontig_12.2,3671951,3672300,350,"Blast,Het,Period"
Supercontig_12.2,3672301,3673100,800,"Blast,Depth,Het,Period"
Supercontig_12.2,3673101,3673800,700,"Blast,Het,Period"
Supercontig_12.2,3673801,3674000,200,"Blast,Depth,Het,Period"
Supercontig_12.2,3674001,3674650,650,"Blast,Het,Period"
Supercontig_12.2,3674651,3675000,350,"Blast,Period"
Supercontig_12.2,3675001,3676050,1050,"Blast,Het,Period"
Supercontig_12.2,3676051,3676200,150,"Blast,Depth,Het,Period"
Supercontig_12.2,3676201,3676500,300,"Blast,Het,Period"
Supercontig_12.2,3676501,3676950,450,"Blast,Depth,Het,Period"
Supercontig_12.2,3676951,3677550,600,"Blast,Het,Period"
Supercontig_12.2,3677551,3677650,100,"Blast,Depth,Het,Period"
Supercontig_12.2,3677651,3677950,300,"Blast,Het,Period"
Supercontig_12.2,3677951,3678700,750,"Blast,Depth,Het,Period"
Supercontig_12.2,3678701,3679000,300,"Blast,Het,Period"
Supercontig_12.2,3679001,3679184,184,"Blast,Depth,Het,Period"
Supercontig_12.2,3679185,3679250,66,"Blast,Depth,Het"
Supercontig_12.2,3679251,3679350,100,"Blast,Het"
Supercontig_12.2,3679351,3679400,50,Blast
Supercontig_12.2,3679551,3679558,8,Depth
Supercontig_12.2,3679559,3679600,42,"Depth,Period"
Supercontig_12.2,3679601,3680000,400,"Blast,Depth,Het,Period"
Supercontig_12.2,3680001,3680220,220,"Blast,Depth,Period"
Supercontig_12.2,3680221,3680350,130,"Blast,Depth"
Supercontig_12.2,3680351,3680578,228,Blast
Supercontig_12.2,3680579,3680650,72,"Blast,Period"
Supercontig_12.2,3680651,3680800,150,"Blast,Het,Period"
Supercontig_12.2,3680801,3681056,256,"Blast,Period"
Supercontig_12.2,3681057,3681222,166,Blast
Supercontig_12.2,3681223,3681550,328,"Blast,Period"
Supercontig_12.2,3681551,3682450,900,"Blast,Het,Period"
Supercontig_12.2,3682451,3682700,250,"Blast,Period"
Supercontig_12.2,3682701,3683200,500,"Blast,Het,Period"
Supercontig_12.2,3683201,3683348,148,"Blast,Period"
Supercontig_12.2,3683349,3683500,152,Blast
Supercontig_12.2,3683501,3683517,17,"Blast,Het"
Supercontig_12.2,3683518,3683600,83,"Blast,Het,Period"
Supercontig_12.2,3683601,3683850,250,"Blast,Depth,Het,Period"
Supercontig_12.2,3683851,3684531,681,"Blast,Het,Period"
Supercontig_12.2,3684532,3684756,225,"Blast,Het"
Supercontig_12.2,3684757,3685000,244,"Blast,Het,Period"
Supercontig_12.2,3685001,3685800,800,"Blast,Depth,Het,Period"
Supercontig_12.2,3685801,3686100,300,"Blast,Het,Period"
Supercontig_12.2,3686101,3686950,850,"Blast,Depth,Het,Period"
Supercontig_12.2,3686951,3687350,400,"Blast,Het,Period"
Supercontig_12.2,3687351,3687650,300,"Blast,Depth,Het,Period"
Supercontig_12.2,3687651,3687900,250,"Blast,Het,Period"
Supercontig_12.2,3687901,3688799,899,"Blast,Depth,Het,Period"
Supercontig_12.2,3688800,3689017,218,"Blast,Depth,Het"
Supercontig_12.2,3689018,3690474,1457,"Blast,Depth,Het,Period"
Supercontig_12.2,3690475,3690731,257,"Blast,Depth,Het"
Supercontig_12.2,3690732,3697000,6269,"Blast,Depth,Het,Period"
Supercontig_12.2,3697001,3697250,250,"Blast,Het,Period"
Supercontig_12.2,3697251,3697400,150,"Blast,Depth,Het,Period"
Supercontig_12.2,3697401,3697450,50,"Depth,Het,Period"
Supercontig_12.2,3697451,3697600,150,"Depth,Period"
Supercontig_12.2,3697601,3697800,200,"Blast,Depth,Period"
Supercontig_12.2,3697801,3700100,2300,"Blast,Depth,Het,Period"
Supercontig_12.2,3700101,3700200,100,"Blast,Depth,Period"
Supercontig_12.2,3700201,3700300,100,"Depth,Period"
Supercontig_12.2,3700301,3700400,100,"Depth,Het,Period"
Supercontig_12.2,3700401,3700600,200,"Blast,Depth,Het,Period"
Supercontig_12.2,3700601,3700609,9,"Blast,Het,Period"
Supercontig_12.2,3700610,3700650,41,"Blast,Het"
Supercontig_12.2,3700651,3701118,468,Blast
Supercontig_12.2,3701119,3701200,82,"Blast,Period"
Supercontig_12.2,3701201,3701400,200,"Blast,Het,Period"
Supercontig_12.2,3701401,3701750,350,"Blast,Depth,Het,Period"
Supercontig_12.2,3701751,3702850,1100,"Blast,Het,Period"
Supercontig_12.2,3702851,3702889,39,"Blast,Period"
Supercontig_12.2,3702890,3702900,11,Blast
Supercontig_12.2,3702901,3703050,150,"Blast,Depth"
Supercontig_12.2,3703051,3703373,323,"Blast,Het"
Supercontig_12.2,3703374,3703650,277,"Blast,Het,Period"
Supercontig_12.2,3703651,3704076,426,"Blast,Depth,Het,Period"
Supercontig_12.2,3704077,3704150,74,"Blast,Depth,Het"
Supercontig_12.2,3704151,3704200,50,"Blast,Het"
Supercontig_12.2,3704201,3704400,200,Blast
Supercontig_12.2,3704451,3704600,150,Het
Supercontig_12.2,3704601,3704750,150,"Blast,Het"
Supercontig_12.2,3704751,3704950,200,"Blast,Depth,Het"
Supercontig_12.2,3704951,3705200,250,"Blast,Depth"
Supercontig_12.2,3705201,3705400,200,"Blast,Depth,Het"
Supercontig_12.2,3705401,3705650,250,"Blast,Depth,Het,Period"
Supercontig_12.2,3705651,3705900,250,"Blast,Het,Period"
Supercontig_12.2,3705901,3706000,100,"Blast,Period"
Supercontig_12.2,3706001,3706200,200,Period
Supercontig_12.2,3706201,3706250,50,"Blast,Period"
Supercontig_12.2,3706251,3706850,600,"Blast,Het,Period"
Supercontig_12.2,3706851,3706900,50,"Blast,Period"
Supercontig_12.2,3706901,3707150,250,"Blast,Depth,Period"
Supercontig_12.2,3707151,3707450,300,"Blast,Het,Period"
Supercontig_12.2,3707451,3707650,200,"Blast,Depth,Het,Period"
Supercontig_12.2,3707651,3707900,250,"Blast,Het,Period"
Supercontig_12.2,3707901,3708200,300,"Blast,Depth,Het,Period"
Supercontig_12.2,3708201,3708550,350,"Blast,Het,Period"
Supercontig_12.2,3708551,3708600,50,"Blast,Period"
Supercontig_12.2,3708601,3708800,200,Period
Supercontig_12.2,3708801,3708850,50,"Blast,Period"
Supercontig_12.2,3708851,3709550,700,"Blast,Het,Period"
Supercontig_12.2,3709551,3710050,500,"Blast,Period"
Supercontig_12.2,3710051,3710300,250,"Blast,Het,Period"
Supercontig_12.2,3710301,3711250,950,"Blast,Period"
Supercontig_12.2,3711251,3711500,250,"Blast,Het,Period"
Supercontig_12.2,3711501,3711950,450,"Blast,Depth,Het,Period"
Supercontig_12.2,3711951,3712150,200,"Blast,Depth,Period"
Supercontig_12.2,3712151,3712400,250,"Blast,Period"
Supercontig_12.2,3712401,3712600,200,"Blast,Het,Period"
Supercontig_12.2,3712601,3712650,50,"Het,Period"
Supercontig_12.2,3712651,3712652,2,Period
Supercontig_12.2,3713401,3713500,100,Depth
Supercontig_12.2,3714051,3714350,300,Depth
Supercontig_12.2,3714701,3714900,200,Depth
Supercontig_12.2,3715201,3715400,200,Blast
Supercontig_12.2,3715701,3715800,100,Depth
Supercontig_12.2,3715801,3716150,350,Het
Supercontig_12.2,3716151,3716300,150,"Depth,Het"
Supercontig_12.2,3716301,3716700,400,Depth
Supercontig_12.2,3717101,3717250,150,Depth
Supercontig_12.2,3717451,3717600,150,Depth
Supercontig_12.2,3718201,3718300,100,Depth
Supercontig_12.2,3718651,3718700,50,Het
Supercontig_12.2,3718701,3718850,150,"Depth,Het"
Supercontig_12.2,3718851,3719800,950,Depth
Supercontig_12.2,3720201,3720400,200,Blast
Supercontig_12.2,3721101,3721250,150,Depth
Supercontig_12.2,3721351,3721550,200,Het
Supercontig_12.2,3721751,3721950,200,Het
Supercontig_12.2,3722151,3722400,250,Depth
Supercontig_12.2,3722851,3723000,150,Het
Supercontig_12.2,3723651,3723950,300,Depth
Supercontig_12.2,3724351,3724600,250,Het
Supercontig_12.2,3725001,3725250,250,Het
Supercontig_12.2,3725801,3725950,150,Het
Supercontig_12.2,3726201,3726350,150,Het
Supercontig_12.2,3726751,3727000,250,Depth
Supercontig_12.2,3727501,3727650,150,Het
Supercontig_12.2,3728001,3728100,100,Depth
Supercontig_12.2,3728601,3728800,200,Depth
Supercontig_12.2,3731551,3731650,100,Depth
Supercontig_12.2,3731701,3731950,250,Het
Supercontig_12.2,3731951,3732100,150,"Depth,Het"
Supercontig_12.2,3732101,3732150,50,Depth
Supercontig_12.2,3732401,3732600,200,Blast
Supercontig_12.2,3733751,3733950,200,Het
Supercontig_12.2,3734401,3734700,300,Het
Supercontig_12.2,3735951,3737150,1200,Depth
Supercontig_12.2,3737351,3737650,300,Depth
Supercontig_12.2,3737801,3737850,50,Blast
Supercontig_12.2,3737851,3738000,150,"Blast,Depth,Het"
Supercontig_12.2,3738001,3738050,50,"Depth,Het"
Supercontig_12.2,3739001,3739200,200,"Blast,Het"
Supercontig_12.2,3739201,3739650,450,Het
Supercontig_12.2,3740001,3740150,150,Depth
Supercontig_12.2,3740501,3740650,150,Het
Supercontig_12.2,3741551,3741800,250,"Depth,Het"
Supercontig_12.2,3741801,3742100,300,Depth
Supercontig_12.2,3742601,3742900,300,Depth
Supercontig_12.2,3743601,3743700,100,Depth
Supercontig_12.2,3743901,3744100,200,Het
Supercontig_12.2,3744351,3744450,100,Depth
Supercontig_12.2,3744851,3745050,200,Depth
Supercontig_12.2,3745051,3745200,150,"Depth,Het"
Supercontig_12.2,3745201,3745300,100,Depth
Supercontig_12.2,3746051,3746150,100,Depth
Supercontig_12.2,3746351,3746500,150,Het
Supercontig_12.2,3746501,3746600,100,"Depth,Het"
Supercontig_12.2,3746601,3747000,400,Depth
Supercontig_12.2,3747601,3747750,150,Het
Supercontig_12.2,3748001,3748050,50,"Blast,Depth"
Supercontig_12.2,3748051,3748200,150,"Blast,Depth,Het"
Supercontig_12.2,3748201,3748400,200,Depth
Supercontig_12.2,3748751,3748900,150,Het
Supercontig_12.2,3749401,3749600,200,Het
Supercontig_12.2,3751201,3751500,300,Het
Supercontig_12.2,3752701,3752850,150,Het
Supercontig_12.2,3753151,3753250,100,Depth
Supercontig_12.2,3753701,3753900,200,Het
Supercontig_12.2,3754871,3755183,313,Period
Supercontig_12.2,3755201,3755350,150,Het
Supercontig_12.2,3758201,3758300,100,Depth
Supercontig_12.2,3760551,3760650,100,Depth
Supercontig_12.2,3760951,3762050,1100,Depth
Supercontig_12.2,3762351,3762600,250,Depth
Supercontig_12.2,3763651,3763750,100,Depth
Supercontig_12.2,3763851,3764050,200,Het
Supercontig_12.2,3764301,3764550,250,Depth
Supercontig_12.2,3764751,3765300,550,Depth
Supercontig_12.2,3765751,3765950,200,Depth
Supercontig_12.2,3765951,3766100,150,Het
Supercontig_12.2,3766401,3766600,200,"Blast,Het"
Supercontig_12.2,3767801,3767950,150,Het
Supercontig_12.2,3769751,3769900,150,Het
Supercontig_12.2,3770501,3770700,200,Depth
Supercontig_12.2,3770701,3770740,40,"Depth,Het"
Supercontig_12.2,3770741,3770800,60,"Depth,Het,Period"
Supercontig_12.2,3770801,3770900,100,"Blast,Depth,Het,Period"
Supercontig_12.2,3770901,3771200,300,"Blast,Het,Period"
Supercontig_12.2,3771201,3771250,50,"Blast,Depth,Het,Period"
Supercontig_12.2,3771251,3771300,50,"Blast,Depth,Period"
Supercontig_12.2,3771301,3771400,100,"Blast,Period"
Supercontig_12.2,3771401,3771600,200,Period
Supercontig_12.2,3771601,3771750,150,"Het,Period"
Supercontig_12.2,3771751,3771800,50,Period
Supercontig_12.2,3771801,3772000,200,"Blast,Period"
Supercontig_12.2,3772001,3772400,400,Period
Supercontig_12.2,3772401,3772563,163,"Blast,Period"
Supercontig_12.2,3772564,3772600,37,Blast
Supercontig_12.2,3772980,3773100,121,Period
Supercontig_12.2,3773101,3773300,200,"Depth,Period"
Supercontig_12.2,3773301,3773617,317,Period
Supercontig_12.2,3773955,3774500,546,Period
Supercontig_12.2,3774501,3774600,100,"Depth,Period"
Supercontig_12.2,3774601,3774990,390,Period
Supercontig_12.2,3775451,3775650,200,Het
Supercontig_12.2,3775732,3776059,328,Period
Supercontig_12.2,3776501,3776600,100,Depth
Supercontig_12.2,3776708,3777300,593,Period
Supercontig_12.2,3777301,3777430,130,"Depth,Period"
Supercontig_12.2,3777431,3777450,20,Depth
Supercontig_12.2,3777451,3777593,143,Het
Supercontig_12.2,3777594,3778152,559,"Het,Period"
Supercontig_12.2,3778153,3778200,48,Het
Supercontig_12.2,3778751,3779250,500,Depth
Supercontig_12.2,3779451,3779550,100,"Depth,Het"
Supercontig_12.2,3779551,3779600,50,Het
Supercontig_12.2,3780051,3780150,100,Het
Supercontig_12.2,3780151,3780200,50,"Depth,Het"
Supercontig_12.2,3780201,3780400,200,Depth
Supercontig_12.2,3781001,3781250,250,Het
Supercontig_12.2,3781251,3781500,250,Depth
Supercontig_12.2,3781851,3781950,100,Depth
Supercontig_12.2,3782301,3782450,150,Het
Supercontig_12.2,3782651,3782850,200,Het
Supercontig_12.2,3783251,3783650,400,Depth
Supercontig_12.2,3784151,3784300,150,Het
Supercontig_12.2,3785951,3786100,150,Het
Supercontig_12.2,3786401,3786550,150,Het
Supercontig_12.2,3786901,3787050,150,Het
Supercontig_12.2,3787501,3787700,200,Depth
Supercontig_12.2,3788101,3788250,150,Het
Supercontig_12.2,3788601,3788750,150,Het
Supercontig_12.2,3789651,3789800,150,Het
Supercontig_12.2,3790701,3791000,300,Depth
Supercontig_12.2,3791001,3791150,150,"Blast,Depth"
Supercontig_12.2,3791151,3791174,24,Blast
Supercontig_12.2,3791175,3791200,26,"Blast,Period"
Supercontig_12.2,3791201,3791400,200,Period
Supercontig_12.2,3791401,3791600,200,"Blast,Het,Period"
Supercontig_12.2,3791601,3791650,50,"Het,Period"
Supercontig_12.2,3791651,3791850,200,Period
Supercontig_12.2,3791851,3792100,250,"Depth,Period"
Supercontig_12.2,3792101,3792150,50,"Depth,Het,Period"
Supercontig_12.2,3792151,3792300,150,"Het,Period"
Supercontig_12.2,3792301,3792400,100,Period
Supercontig_12.2,3792401,3792700,300,"Depth,Period"
Supercontig_12.2,3792701,3792860,160,Period
Supercontig_12.2,3793751,3794150,400,Depth
Supercontig_12.2,3794401,3794600,200,Blast
Supercontig_12.2,3795001,3795200,200,Blast
Supercontig_12.2,3796801,3797050,250,Depth
Supercontig_12.2,3797251,3797550,300,Depth
Supercontig_12.2,3797751,3798050,300,Het
Supercontig_12.2,3799001,3799200,200,Het
Supercontig_12.2,3799851,3800900,1050,Depth
Supercontig_12.2,3801301,3801500,200,Depth
Supercontig_12.2,3802001,3802200,200,Het
Supercontig_12.2,3802401,3803350,950,Depth
Supercontig_12.2,3803351,3803750,400,"Depth,Het"
Supercontig_12.2,3803751,3803850,100,Depth
Supercontig_12.2,3804151,3804400,250,Het
Supercontig_12.2,3804401,3804550,150,"Depth,Het"
Supercontig_12.2,3804551,3805000,450,Depth
Supercontig_12.2,3806151,3806300,150,Het
Supercontig_12.2,3806551,3806650,100,Depth
Supercontig_12.2,3807951,3808150,200,Depth
Supercontig_12.2,3808451,3808900,450,Depth
Supercontig_12.2,3809451,3809750,300,Depth
Supercontig_12.2,3810251,3810350,100,Depth
Supercontig_12.2,3812151,3812300,150,Het
Supercontig_12.2,3812401,3812500,100,Depth
Supercontig_12.2,3813651,3814000,350,Het
Supercontig_12.2,3814601,3814800,200,"Depth,Het"
Supercontig_12.2,3815451,3815850,400,Het
Supercontig_12.2,3816801,3817000,200,Blast
Supercontig_12.2,3817451,3817650,200,Depth
Supercontig_12.2,3818101,3818350,250,Depth
Supercontig_12.2,3818751,3818850,100,Depth
Supercontig_12.2,3818951,3819100,150,Het
Supercontig_12.2,3820051,3820200,150,Het
Supercontig_12.2,3823151,3823850,700,Depth
Supercontig_12.2,3824401,3824450,50,Depth
Supercontig_12.2,3824451,3824600,150,"Depth,Het"
Supercontig_12.2,3824601,3825000,400,Het
Supercontig_12.2,3825201,3825450,250,Depth
Supercontig_12.2,3825901,3826200,300,Depth
Supercontig_12.2,3827101,3827300,200,Depth
Supercontig_12.2,3827601,3827750,150,Het
Supercontig_12.2,3828401,3828500,100,Depth
Supercontig_12.2,3828701,3829100,400,Depth
Supercontig_12.2,3829101,3829150,50,"Depth,Het"
Supercontig_12.2,3829151,3829550,400,Het
Supercontig_12.2,3830851,3831100,250,Depth
Supercontig_12.2,3831301,3831500,200,Depth
Supercontig_12.2,3831951,3832600,650,Depth
Supercontig_12.2,3833151,3833300,150,Depth
Supercontig_12.2,3833351,3833600,250,Het
Supercontig_12.2,3833601,3833800,200,"Blast,Het"
Supercontig_12.2,3834001,3834150,150,Het
Supercontig_12.2,3835601,3835750,150,Het
Supercontig_12.2,3835751,3835800,50,Depth
Supercontig_12.2,3835801,3835950,150,"Blast,Depth"
Supercontig_12.2,3835951,3836065,115,Blast
Supercontig_12.2,3836066,3836400,335,"Blast,Period"
Supercontig_12.2,3836401,3836412,12,Period
Supercontig_12.2,3837201,3837400,200,Het
Supercontig_12.2,3837401,3837600,200,"Depth,Het"
